
2024-06-27 20:39:01,437 - INFO - started stock data stream
2024-06-27 20:39:01,437 - INFO - starting stock data websocket connection
2024-06-27 20:39:01,924 - INFO - connected to: wss://stream.data.alpaca.markets/v2/iex
2024-06-27 20:39:02,134 - INFO - subscribed to trades: [], quotes: [], bars: ['AAPL', 'AMZN', 'GOOG', 'META', 'MSFT', 'NFLX', 'NVDA', 'PYPL', 'TSLA', 'V'], updatedBars: [], dailyBars: [], statuses: [], lulds: [], cancelErrors: [], corrections: []
2024-06-27 20:40:00,118 - INFO - Received new bar data for MSFT: 452.5
2024-06-27 20:41:01,027 - INFO - Neutral signal received for NVDA, no trade executed
2024-06-27 20:41:01,027 - INFO - Received new bar data for AMZN: 198.11
2024-06-27 20:41:01,201 - INFO - Holding 0.563653769 shares of AAPL at 213.945 per share, market value: 120.590905608705
2024-06-27 20:41:01,201 - INFO - Holding 0.628663333 shares of AMZN at 198.1 per share, market value: 124.5382062673
2024-06-27 20:41:01,201 - INFO - Holding 0.53919355 shares of GOOG at 186.7049 per share, market value: 100.670077833395
2024-06-27 20:41:01,201 - INFO - Holding 0.039012 shares of META at 519.325 per share, market value: 20.2599069
2024-06-27 20:41:01,201 - INFO - Holding 0.420432778 shares of MSFT at 452.49 per share, market value: 190.24162771722
2024-06-27 20:41:01,201 - INFO - Holding 0.0889 shares of NFLX at 684.67 per share, market value: 60.867163
2024-06-27 20:41:01,201 - INFO - Holding 0.080561 shares of NVDA at 123.9502 per share, market value: 9.9855520622
2024-06-27 20:41:01,201 - INFO - Holding 2.743488 shares of PYPL at 58.27 per share, market value: 159.86304576
2024-06-27 20:41:01,202 - INFO - Holding 1.0 shares of SPY at 545.7599 per share, market value: 545.7599
2024-06-27 20:41:01,202 - INFO - Holding 0.685021999 shares of TSLA at 197.095 per share, market value: 135.014410892905
2024-06-27 20:41:01,202 - INFO - Holding 0.698268708 shares of V at 267.37 per share, market value: 186.69610445796
2024-06-27 20:41:01,202 - INFO - Total portfolio value: 1654.486900499685, Available cash: 98395.48
2024-06-27 20:41:01,202 - INFO - Neutral signal received for AMZN, no trade executed
2024-06-27 20:41:01,202 - INFO - Received new bar data for PYPL: 58.255
2024-06-27 20:41:01,372 - INFO - Holding 0.563653769 shares of AAPL at 213.945 per share, market value: 120.590905608705
2024-06-27 20:41:01,372 - INFO - Holding 0.628663333 shares of AMZN at 198.09 per share, market value: 124.53191963397
2024-06-27 20:41:01,372 - INFO - Holding 0.53919355 shares of GOOG at 186.7049 per share, market value: 100.670077833395
2024-06-27 20:41:01,372 - INFO - Holding 0.039012 shares of META at 519.325 per share, market value: 20.2599069
2024-06-27 20:41:01,372 - INFO - Holding 0.420432778 shares of MSFT at 452.48 per share, market value: 190.23742338944
2024-06-27 20:41:01,374 - INFO - Holding 0.0889 shares of NFLX at 684.67 per share, market value: 60.867163
2024-06-27 20:41:01,374 - INFO - Holding 0.080561 shares of NVDA at 123.9502 per share, market value: 9.9855520622
2024-06-27 20:41:01,374 - INFO - Holding 2.743488 shares of PYPL at 58.27 per share, market value: 159.86304576
2024-06-27 20:41:01,374 - INFO - Holding 1.0 shares of SPY at 545.7599 per share, market value: 545.7599
2024-06-27 20:41:01,374 - INFO - Holding 0.685021999 shares of TSLA at 197.1099 per share, market value: 135.0246177206901
2024-06-27 20:41:01,374 - INFO - Holding 0.698268708 shares of V at 267.37 per share, market value: 186.69610445796
2024-06-27 20:41:01,374 - INFO - Total portfolio value: 1654.4866163663598, Available cash: 98395.48
2024-06-27 20:41:01,374 - INFO - Neutral signal received for PYPL, no trade executed
2024-06-27 20:41:01,374 - INFO - Received new bar data for MSFT: 452.42
2024-06-27 20:41:01,546 - INFO - Holding 0.563653769 shares of AAPL at 213.945 per share, market value: 120.590905608705
2024-06-27 20:41:01,546 - INFO - Holding 0.628663333 shares of AMZN at 198.09 per share, market value: 124.53191963397
2024-06-27 20:41:01,546 - INFO - Holding 0.53919355 shares of GOOG at 186.7049 per share, market value: 100.670077833395
2024-06-27 20:41:01,547 - INFO - Holding 0.039012 shares of META at 519.325 per share, market value: 20.2599069
2024-06-27 20:41:01,547 - INFO - Holding 0.420432778 shares of MSFT at 452.48 per share, market value: 190.23742338944
2024-06-27 20:41:01,547 - INFO - Holding 0.0889 shares of NFLX at 684.67 per share, market value: 60.867163
2024-06-27 20:41:01,547 - INFO - Holding 0.080561 shares of NVDA at 123.9501 per share, market value: 9.9855440061
2024-06-27 20:41:01,547 - INFO - Holding 2.743488 shares of PYPL at 58.27 per share, market value: 159.86304576
2024-06-27 20:41:01,547 - INFO - Holding 1.0 shares of SPY at 545.7599 per share, market value: 545.7599
2024-06-27 20:41:01,547 - INFO - Holding 0.685021999 shares of TSLA at 197.09 per share, market value: 135.01098578291
2024-06-27 20:41:01,547 - INFO - Holding 0.698268708 shares of V at 267.37 per share, market value: 186.69610445796
2024-06-27 20:41:01,547 - INFO - Total portfolio value: 1654.47297637248, Available cash: 98395.48
2024-06-27 20:41:01,547 - INFO - Neutral signal received for MSFT, no trade executed
2024-06-27 20:41:01,547 - INFO - Received new bar data for V: 267.37
2024-06-27 20:41:01,728 - INFO - Holding 0.563653769 shares of AAPL at 213.9429 per share, market value: 120.5897219357901
2024-06-27 20:41:01,729 - INFO - Holding 0.628663333 shares of AMZN at 198.09 per share, market value: 124.53191963397
2024-06-27 20:41:01,729 - INFO - Holding 0.53919355 shares of GOOG at 186.7049 per share, market value: 100.670077833395
2024-06-27 20:41:01,729 - INFO - Holding 0.039012 shares of META at 519.325 per share, market value: 20.2599069
2024-06-27 20:41:01,729 - INFO - Holding 0.420432778 shares of MSFT at 452.48 per share, market value: 190.23742338944
2024-06-27 20:41:01,729 - INFO - Holding 0.0889 shares of NFLX at 684.67 per share, market value: 60.867163
2024-06-27 20:41:01,729 - INFO - Holding 0.080561 shares of NVDA at 123.9612 per share, market value: 9.9864382332
2024-06-27 20:41:01,729 - INFO - Holding 2.743488 shares of PYPL at 58.27 per share, market value: 159.86304576
2024-06-27 20:41:01,729 - INFO - Holding 1.0 shares of SPY at 545.7599 per share, market value: 545.7599
2024-06-27 20:41:01,729 - INFO - Holding 0.685021999 shares of TSLA at 197.09 per share, market value: 135.01098578291
2024-06-27 20:41:01,729 - INFO - Holding 0.698268708 shares of V at 267.37 per share, market value: 186.69610445796
2024-06-27 20:41:01,729 - INFO - Total portfolio value: 1654.4726869266651, Available cash: 98395.48
2024-06-27 20:41:01,729 - INFO - Neutral signal received for V, no trade executed
2024-06-27 20:41:01,729 - INFO - Received new bar data for TSLA: 197.1
2024-06-27 20:41:01,901 - INFO - Holding 0.563653769 shares of AAPL at 213.9429 per share, market value: 120.5897219357901
