Parameters,Cumulative Return,Sharpe Ratio,Max Drawdown,Time
"{'window': 20, 'allocation_per_trade': 50, 'stop_loss_pct': 0.02, 'take_profit_pct': 0.07}",-0.0019946306274590837,0.025778981412240158,-0.019607943138398087,25.42934250831604
"{'window': 20, 'allocation_per_trade': 50, 'stop_loss_pct': 0.025, 'take_profit_pct': 0.04}",-0.0009979150893077561,0.02599652871185569,-0.019607943138398087,25.088672161102295
"{'window': 20, 'allocation_per_trade': 50, 'stop_loss_pct': 0.025, 'take_profit_pct': 0.05}",1.4023475941133592e-06,0.026192689096837578,-0.019607943138398087,25.596256017684937
"{'window': 20, 'allocation_per_trade': 50, 'stop_loss_pct': 0.025, 'take_profit_pct': 0.06}",0.0049840544754466,0.02716296960741396,-0.019607943138398087,25.358811140060425
"{'window': 20, 'allocation_per_trade': 50, 'stop_loss_pct': 0.025, 'take_profit_pct': 0.07}",-0.0019946306274590837,0.025803779242001862,-0.019607943138398087,25.73640513420105
"{'window': 20, 'allocation_per_trade': 50, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.04}",-0.0009948693361023129,0.026006657763226308,-0.019607943138398087,25.157522439956665
"{'window': 20, 'allocation_per_trade': 50, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.05}",0.003979180969449522,0.02695510557535149,-0.019607943138398087,25.350808143615723
"{'window': 20, 'allocation_per_trade': 50, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.06}",-0.0009977811417176458,0.026008715592570914,-0.019607943138398087,25.98255228996277
"{'window': 20, 'allocation_per_trade': 50, 'stop_loss_pct': 0.03, 'take_profit_pct': 0.07}",-0.0019946306274590837,0.025828951752385806,-0.019607943138398087,25.07375693321228
"{'window': 20, 'allocation_per_trade': 75, 'stop_loss_pct': 0.015, 'take_profit_pct': 0.04}",-0.0009979150893077561,0.026028197282425353,-0.019607943138398087,25.27915334701538
"{'window': 20, 'allocation_per_trade': 75, 'stop_loss_pct': 0.015, 'take_profit_pct': 0.05}",-0.0019946306274590837,0.02584576407370175,-0.019607943138398087,28.494258165359497
"{'window': 20, 'allocation_per_trade': 75, 'stop_loss_pct': 0.015, 'take_profit_pct': 0.06}",-0.0009948693361023129,0.026035977529674847,-0.019607943138398087,25.721099615097046
"{'window': 20, 'allocation_per_trade': 75, 'stop_loss_pct': 0.015, 'take_profit_pct': 0.07}",1.4023475941133592e-06,0.02621175357722902,-0.019607943138398087,26.600646495819092
